"","state_abbr","date","traf"
"623","WA",2020-05-04,-30.1835175856104
"624","VA",2020-05-04,-28.5915580744922
"625","TX",2020-05-04,-20.0581484028714
"626","US",2020-05-04,-24.1404875397047
"627","TN",2020-05-04,-8.94927219242175
"628","RI",2020-05-04,-31.3674834122693
"629","NH",2020-05-04,-31.1934698988447
"630","NM",2020-05-04,-23.7081231620219
"631","OH",2020-05-04,-26.2381692341689
"632","NC",2020-05-04,-27.1211887268083
"633","MT",2020-05-04,-20.4801341596365
"634","MA",2020-05-04,-39.0114271808384
"635","MI",2020-05-04,-37.9497397077873
"636","MO",2020-05-04,-31.3216577955487
